clavis_id,buken_name_clavis,kari_name,address,buken_path,csv_buken_name,id_in_csv,name_match
4749,パティーナ桜台Duo,豊玉上２丁目計画,東京都練馬区豊玉上2-3-27,/support/after/admin/?m=Edit&id=4749,パティーナ桜台Duo,True,True
4750,ブリシア荻窪一丁目,ブリシア荻窪,東京都杉並区荻窪一丁目27-5,/support/after/admin/?m=Edit&id=4750,ブリシア荻窪一丁目,True,True
4768,グラサージュ武蔵境アヴニール,三鷹市井口三丁目共同住宅,東京都三鷹市井口3-1,/support/after/admin/?m=Edit&id=4768,グラサージュ武蔵境アヴニール,True,True
4794,パークホームズ市ヶ谷ヒルトップレジデンス,新宿区納戸計画,東京都新宿区納戸町３８番３（地番）,/support/after/admin/?m=Edit&id=4794,パークホームズ市ヶ谷ヒルトップレジデンス,True,True
4819,プレシス武蔵境プロスタイル,プレシス武蔵境プロスタイル,東京都武蔵野市境南町2丁目27-3,/support/after/admin/?m=Edit&id=4819,プレシス武蔵境プロスタイル,True,True
4823,クレヴィスタ武蔵中原,ヴァローレ武蔵,神奈川県川崎市中原区上小田中3丁目7-3,/support/after/admin/?m=Edit&id=4823,クレヴィスタ武蔵中原,True,True
4843,MAXIV西荻窪AZ,西荻北ＰＪ,東京都杉並区西荻北１丁目2番19,/support/after/admin/?m=Edit&id=4843,MAXIV西荻窪AZ,True,True
4844,Brilia三鷹下連雀,三鷹市下連雀４丁目計画,東京都三鷹市下連雀4丁目315番16、17(地番),/support/after/admin/?m=Edit&id=4844,Brilia三鷹下連雀,True,True
4858,バウス新中野,中野区本町５丁目計画新築工事,東京都中野区本町5丁目37－11,/support/after/admin/?m=Edit&id=4858,バウス新中野,True,True
4862,パークホームズ杉並上荻,杉並区上荻三丁目計画,東京都杉並区上荻3-27,/support/after/admin/?m=Edit&id=4862,パークホームズ杉並上荻,True,True
4889,ルフォンプログレ中野坂上,中村区本町一丁目計画,東京都中野区本町１－１３,/support/after/admin/?m=Edit&id=4889,ルフォンプログレ中野坂上,True,True
4894,オープンレジデンシア吉祥寺本町プレイス,オープンレジデンシア吉祥寺本町３丁目,東京都武蔵野市吉祥寺本町３－１０－１０,/support/after/admin/?m=Edit&id=4894,オープンレジデンシア吉祥寺本町プレイス,True,True
4924,プレディア東中野,中野区東中野５丁目,東京都中野区東中野５－１７－２８,/support/after/admin/?m=Edit&id=4924,プレディア東中野,True,True
1903,リライア武蔵小杉,,神奈川県川崎市中原区上丸子山王町1丁目1404,/support/after/admin/?m=Edit&id=1903,リライア武蔵小杉,True,True
69,ローレルコート笹塚,,東京都杉並区方南1丁目46番,/support/after/admin/?m=Edit&id=69,ローレルコート笹塚,True,True
163,AXAS池袋レジデンス,豊島区池袋１丁目計画,東京都豊島区池袋1丁目16-26,/support/after/admin/?m=Edit&id=163,AXAS池袋レジデンス,True,True
182,ウエリス井の頭公園,三鷹下連雀共同住宅,東京都三鷹市下連雀１,/support/after/admin/?m=Edit&id=182,ウエリス井の頭公園,True,True
193,シーフォルム外苑前,外苑前プロジェクト,東京都港区北青山２ー１２,/support/after/admin/?m=Edit&id=193,シーフォルム外苑前,True,True
204,サンクレイドル学芸大学,サンクレイドル学芸大学,東京都世田谷区野沢3丁目5-19,/support/after/admin/?m=Edit&id=204,サンクレイドル学芸大学,True,True
246,ピアース中野坂上,中野区中央1丁目計画,東京都中野区中央１-30-29,/support/after/admin/?m=Edit&id=246,ピアース中野坂上,True,True
248,プラウド綱島ＳＳＴ,綱島東Ⅲ計画,神奈川県横浜市港北区綱島東四丁目,/support/after/admin/?m=Edit&id=248,プラウド綱島ＳＳＴ,True,True
269,ウエリス新宿早稲田の森,西早稲田共同住宅,東京都新宿区 大久保3-1-3,/support/after/admin/?m=Edit&id=269,ウエリス新宿早稲田の森,True,True
275,サンクレイドル西東京,サンクレイドル西東京,東京都西東京市芝久保町2丁目13-19,/support/after/admin/?m=Edit&id=275,サンクレイドル西東京,True,True
285,ディアスタ宮崎台,ディアスタ宮崎台,神奈川県川崎市宮前区宮崎３丁目１０番９他,/support/after/admin/?m=Edit&id=285,ディアスタ宮崎台,True,True
286,ルイシャトレ川口青木リバーパーク,ルイシャトレ川口青木リバーパーク改修工事,埼玉県川口市青木2丁目13−23,/support/after/admin/?m=Edit&id=286,ルイシャトレ川口青木リバーパーク,True,True
322,Brillia Tower 代々木公園 CLASSY,富ヶ谷１丁目プロジェクト,東京都渋谷区富ヶ谷1-49,/support/after/admin/?m=Edit&id=322,Brillia Tower 代々木公園 CLASSY,True,True
340,モディア市ヶ谷,（仮称）新宿区払方町計画,東京都新宿区払方町２?４,/support/after/admin/?m=Edit&id=340,モディア市ヶ谷,True,True
359,アトラス荻窪大田黒公園,荻窪３丁目計画,東京都東京都杉並区荻窪３丁目４７－１６,/support/after/admin/?m=Edit&id=359,アトラス荻窪大田黒公園,True,True
386,パークナード代官山,渋谷区恵比寿西２丁目計画,東京都渋谷区恵比寿西２丁目２０－２（地番）,/support/after/admin/?m=Edit&id=386,パークナード代官山,True,True
418,パークルール恵比寿,恵比寿２丁目計画,東京都渋谷区恵比寿2-5-4,/support/after/admin/?m=Edit&id=418,パークルール恵比寿,True,True
454,グランドメゾン目黒プレイス,グランドメゾン目黒Ⅱ,東京都目黒区下目黒２丁目21-18,/support/after/admin/?m=Edit&id=454,グランドメゾン目黒プレイス,True,True
462,アトラス東高円寺,東高円寺ＰＪ,東京都杉並区和田3-54-11,/support/after/admin/?m=Edit&id=462,アトラス東高円寺,True,True
530,ブランズ中野富士見町パークナード,（仮称）中野区本町五丁目計画,東京都中野区本町五丁目39-10他（地番）,/support/after/admin/?m=Edit&id=530,ブランズ中野富士見町パークナード,True,True
546,グローベル　ザ・中浦和　日向ノ杜,グローベル中浦和,埼玉県さいたま市桜区西堀８-402-1（地番）,/support/after/admin/?m=Edit&id=546,グローベル　ザ・中浦和　日向ノ杜,True,True
667,ＡＲＫＭＡＲＫ中野坂上,（仮称）東中野１丁目計画,東京都中野区東中野１丁目１７番３号,/support/after/admin/?m=Edit&id=667,ＡＲＫＭＡＲＫ中野坂上,True,True
690,プレシス大宮ヴェルデ,プレシス大宮大成町新築工事,埼玉県さいたま市大宮区大成町二丁目206,/support/after/admin/?m=Edit&id=690,プレシス大宮ヴェルデ,True,True
741,アーバネックス銀座東Ⅱ,中央区湊1丁目計画,東京都中央区湊1丁目12-3,/support/after/admin/?m=Edit&id=741,アーバネックス銀座東Ⅱ,True,True
770,ドゥーエ武蔵浦和,南区白幡５丁目計画,埼玉県さいたま市南区白幡五丁目3番23号,/support/after/admin/?m=Edit&id=770,ドゥーエ武蔵浦和,True,True
776,グランツオーベル中野,中野５丁目計画,東京都中野区5-26-3,/support/after/admin/?m=Edit&id=776,グランツオーベル中野,True,True
786,ドゥーエ早稲田,オープンレジデンシア西早稲田２丁目,東京都新宿区西早稲田2-6-1,/support/after/admin/?m=Edit&id=786,ドゥーエ早稲田,True,True
825,ディアナガーデン鷹番,目黒区鷹番３丁目,東京都目黒区鷹番3-21-9,/support/after/admin/?m=Edit&id=825,ディアナガーデン鷹番,True,True
830,RELUXIA北新宿,新宿区北新j区３丁目計画,東京都新宿区北新宿3-39-8,/support/after/admin/?m=Edit&id=830,RELUXIA北新宿,True,True
837,パークホームズ浦和常盤十丁目,さいたま市浦和区常盤十丁目計画,埼玉県さいたま市浦和区常盤10-16-16,/support/after/admin/?m=Edit&id=837,パークホームズ浦和常盤十丁目,True,True
858,PREMIUM CUBE中野,,東京都中野区中野2-16-4,/support/after/admin/?m=Edit&id=858,PREMIUM CUBE中野,True,True
926,アトラス練馬レジデンス,練馬区豊玉北PJ,東京都練馬区豊玉北6丁目4番7（地番）,/support/after/admin/?m=Edit&id=926,アトラス練馬レジデンス,True,True
938,エスジーコート元浅草,元浅草4丁目プロジェクト,東京都台東区元浅草4丁目4-9,/support/after/admin/?m=Edit&id=938,エスジーコート元浅草,True,True
962,サンクレイドル立川幸町,サンクレイドル立川幸町,東京都立川幸町1丁目31-23,/support/after/admin/?m=Edit&id=962,サンクレイドル立川幸町,True,True
982,ベルシード板橋NORTH,（仮称）板橋区蓮根３丁目計画,東京都板橋区蓮根3丁目,/support/after/admin/?m=Edit&id=982,ベルシード板橋NORTH,True,True
993,プライムメゾン方南町,（仮称）弥生町計画,東京都中野区弥生町6-10-12,/support/after/admin/?m=Edit&id=993,プライムメゾン方南町,True,True
1004,ローレルコート新宿夏目坂,,東京都新宿区戸山１丁目１５?１３,/support/after/admin/?m=Edit&id=1004,ローレルコート新宿夏目坂,True,True
1026,クレヴィア西荻窪,,東京都杉並区西麻布荻南二丁目18,/support/after/admin/?m=Edit&id=1026,クレヴィア西荻窪,True,True
1033,オープンレジデンシア中野坂上コート,オープンレジデンシア中野本町３丁目,東京都中野区本町3丁目15番1,/support/after/admin/?m=Edit&id=1033,オープンレジデンシア中野坂上コート,True,True
1062,フィカーサプレミア,YS210 田中様邸新築工事,東京都練馬区西大泉5丁目33-7,/support/after/admin/?m=Edit&id=1062,フィカーサプレミア,True,True
1083,アビティグランデ砧,世田谷区砧７,東京都世田谷砧7-18,/support/after/admin/?m=Edit&id=1083,アビティグランデ砧,True,True
1129,オープンレジデンシア西荻窪,,東京都杉並区西荻北三丁目9番1号,/support/after/admin/?m=Edit&id=1129,オープンレジデンシア西荻窪,True,True
1169,Ｌａ　Ｄｏｕｃｅｕｒ四ツ木Ｅａｓｔ,四つ木３丁目計画２,東京都葛飾区四つ木３丁目１−30,/support/after/admin/?m=Edit&id=1169,Ｌａ　Ｄｏｕｃｅｕｒ四ツ木Ｅａｓｔ,True,True
1170,Ｌａ　Ｄｏｕｃｅｕｒ四ツ木Ｗｅｓｔ,四ツ木３丁目計画１,東京都葛飾区四つ木3-1-31,/support/after/admin/?m=Edit&id=1170,Ｌａ　Ｄｏｕｃｅｕｒ四ツ木Ｗｅｓｔ,True,True
1229,PREMIUM　CUBE新宿中井,PREMIUM　CUBE中井,東京都新宿区中井2-13-1,/support/after/admin/?m=Edit&id=1229,PREMIUM　CUBE新宿中井,True,True
1272,クレヴィスタ高円寺,クレヴィスタ高円寺北　新築工事,東京都杉並区高円寺4-43-6,/support/after/admin/?m=Edit&id=1272,クレヴィスタ高円寺,True,True
1281,ヴァースクレイシア中野富士見町,ヴァースクレイシア中野富士見町,東京都中野区弥生町5-1,/support/after/admin/?m=Edit&id=1281,ヴァースクレイシア中野富士見町,True,True
1309,コンシェリア大森ザ・レジデンス,コンシェリア中央２丁目マンション,東京都大田区中央２丁目５－１６,/support/after/admin/?m=Edit&id=1309,コンシェリア大森ザ・レジデンス,True,True
1323,リビオ東中野ヒルトップ,サンクス東中野マンション建て替え事業新築工事,東京都中野区東中野１－３２－１,/support/after/admin/?m=Edit&id=1323,リビオ東中野ヒルトップ,True,True
1521,リーフィアレジデンス杉並　井草森公園,杉並区井草四丁目計画,東京都杉並区井草四丁目18-16,/support/after/admin/?m=Edit&id=1521,リーフィアレジデンス杉並　井草森公園,True,True
